,User,Text,Date,Favorites,Retweets,Mentions,Hashtags
0,musniumar,Bangsa Indonesia masih menghadapi tantangan (cabaran) yg sangat besar akibat Corona. Saya mengajak kita tetao optimis. Simak berikut ini dgn klik youtube ,2020-05-30 23:57:56+00:00,3,16,,
1,SINDOnews,"Pandemi Corona, KNPI Ajak Sesama Anak Bangsa Bangun Solidaritas ",2020-05-30 23:31:43+00:00,0,0,,
2,Olonedale,"sbg penyumbang dana terbesar utk operasional WHO, wajar marah & hengkang krn who gak profesional tangani corona termasuk info2 awal",2020-05-30 23:18:36+00:00,0,0,,
3,AcepCevot,Diya lupa corona temen diya wktu masa sekolah ahhahaha ...,2020-05-30 22:26:56+00:00,0,1,,
4,screenshoot_,"dari semenjak ada wabah corona, terus kampus di liburkan, tidur di bawah jam 12malem kaya nya mustahil banget",2020-05-30 21:08:21+00:00,0,0,,
5,indrasugara1,"Maaf cuk, Meninggal karena Tuhan (berkehendak), jalannya bisa gimana aja.. Termasuk corona dsb!! Lagian Tuhan engga nyabut nyawa, yang nyabut nyawa itu malaikat ijroil..",2020-05-30 19:23:59+00:00,0,0,,
7,telefonkoin,Wallohu Alam sii.. hanya Alloh sebaik baiknya pembuat rencana. Ak rencana ke India maret eh malah batal karna corona. Mungkin Alloh sudaj punya rencana lain.,2020-05-30 17:59:53+00:00,0,0,,
8,telefonkoin,Ga sering2 juga si. Duit jebol dong wkkkwkw. Selama ada libur agak panjng plus ada rezeki aja sii. Pas corona crot tuh ak lagi asyik di Bangkok 6 hari. Auto panik tmn2 disini wkwk,2020-05-30 17:26:23+00:00,0,0,,
9,thbi_thobi,Apa besok klau dah new normal gak ada yg mau tebar pesona wajah kalian? Eeh maskeran semua ya. Bisanya tebar corona. Matek matek kowe.,2020-05-30 17:12:30+00:00,0,0,,
10,asmaraism,"Udah lupa rasanya tidur di kereta. Biasanya jadi PJKA: Pulang Jumat Kembali Ahad. Pulang tiap weekend, ngerasain tidur di kasur cuma di hari Sabtu. Jumat & Minggu tidur di kereta lalu Senin paginya lgsg kerja. Kalau corona selesai ga yakin bisa kuat menjalani ritual itu lagi ",2020-05-30 16:56:48+00:00,0,1,,
12,fahrulazmyas,"Tifak ada mata menyerah tidak ada kata terserah, selesaikan corona ini.",2020-05-30 16:39:27+00:00,1,1,,
14,meliavenny,I just want this all over. Corona and us.,2020-05-30 16:24:31+00:00,0,0,,
15,amawogaofennly,Film Layar Sempit #Hidup baru normal di era Corona ,2020-05-30 16:23:55+00:00,0,0,,
16,_adeliaoctavian,tak golek job job an disek ngko bar corona gas,2020-05-30 16:23:46+00:00,0,0,,
17,jembutatasmulut,"yuk lah kelar corona langsung, tapi nongkrong nongkrong dulu mah sabi kalii wkwk",2020-05-30 15:46:39+00:00,0,0,,
18,muasaroh14,Sambil ketar ketir corona deket sini ngga ya ,2020-05-30 15:45:44+00:00,0,0,,
19,me_idy,Kangen staycation dan sarapan di hotel. Semoga Corona segera berlalu..,2020-05-30 15:35:27+00:00,0,0,,
20,NandaQodrina,"Yang mo nikah cepet gih, mumpung corona, ada alasan gak bikin reramean, aman alasannya tidak mengada2 dan sohih",2020-05-30 15:24:30+00:00,0,0,,
21,mayang_az_,Corona dah kelar ya?,2020-05-30 15:09:16+00:00,0,0,,
